Function			Tests	Docs
-----------------------------------

Array.concat		full	none
Array.map			full	none
Array.reduce		none	none
Array.zip			full	none
Array.zipWith		full	none
Array.flatten		full	none
Array.equal			full	none

Array.hastypes		partial	none
Array.all			full	none
Array::all			full	none
Array.any			full	none
Array::any			full	none
Array.none			full	none
Array::none			full	none
Array.ordered		full	none
Array::ordered		full	none

Array.count			full	none
Array::count		full	none
Array.contains		full	none
Array::contains		full	none
